"county_fips","county_name","population"
"001","Adams",65737
"003","Alexander",5240
"005","Bond",16725
"007","Boone",53448
"009","Brown",6244
"011","Bureau",33244
"013","Calhoun",4437
"015","Carroll",15702
"017","Cass",13042
"019","Champaign",205865
"021","Christian",34032
"023","Clark",15455
"025","Clay",13288
"027","Clinton",36899
"029","Coles",46863
"031","Cook",5275541
"033","Crawford",18679
"035","Cumberland",10450
"037","DeKalb",100420
"039","De Witt",15516
"041","Douglas",19740
"043","DuPage",932877
"045","Edgar",16866
"047","Edwards",6245
"049","Effingham",34668
"051","Fayette",21488
"053","Ford",13534
"055","Franklin",37804
"057","Fulton",33609
"059","Gallatin",4946
"061","Greene",11985
"063","Grundy",52533
"065","Hamilton",7993
"067","Hancock",17620
"069","Hardin",3649
"071","Henderson",6387
"073","Henry",49284
"075","Iroquois",27077
"077","Jackson",52974
"079","Jasper",9287
"081","Jefferson",37113
"083","Jersey",21512
"085","Jo Daviess",22035
"087","Johnson",13308
"089","Kane",516522
"091","Kankakee",107502
"093","Kendall",131869
"095","Knox",49967
"097","Lake",714342
"099","LaSalle",109658
"101","Lawrence",15280
"103","Lee",34145
"105","Livingston",35815
"107","Logan",27987
"109","McDonough",27238
"111","McHenry",310229
"113","McLean",170954
"115","Macon",103998
"117","Macoupin",44967
"119","Madison",265859
"121","Marion",37729
"123","Marshall",11742
"125","Mason",13086
"127","Massac",14169
"129","Menard",12297
"131","Mercer",15699
"133","Monroe",34962
"135","Montgomery",28288
"137","Morgan",32915
"139","Moultrie",14526
"141","Ogle",51788
"143","Peoria",181830
"145","Perry",20945
"147","Piatt",16673
"149","Pike",14739
"151","Pope",3763
"153","Pulaski",5193
"155","Putnam",5637
"157","Randolph",30163
"159","Richland",15813
"161","Rock Island",144672
"163","St. Clair",257400
"165","Saline",23768
"167","Sangamon",196343
"169","Schuyler",6902
"171","Scott",4949
"173","Shelby",20990
"175","Stark",5400
"177","Stephenson",44630
"179","Tazewell",131343
"181","Union",17244
"183","Vermilion",74188
"185","Wabash",11361
"187","Warren",16835
"189","Washington",13761
"191","Wayne",16179
"193","White",13877
"195","Whiteside",55691
"197","Will",696355
"199","Williamson",67153
"201","Winnebago",285350
"203","Woodford",38467
