"state_fips","state_name","population"
"42","Pennsylvania",13002700
"06","California",39538223
"54","West Virginia",1793716
"49","Utah",3271616
"36","New York",20201249
"11","District of Columbia",689545
"02","Alaska",733391
"12","Florida",21538187
"45","South Carolina",5118425
"38","North Dakota",779094
"23","Maine",1362359
"13","Georgia",10711908
"01","Alabama",5024279
"33","New Hampshire",1377529
"41","Oregon",4237256
"56","Wyoming",576851
"04","Arizona",7151502
"22","Louisiana",4657757
"18","Indiana",6785528
"16","Idaho",1839106
"09","Connecticut",3605944
"15","Hawaii",1455271
"17","Illinois",12812508
"25","Massachusetts",7029917
"48","Texas",29145505
"30","Montana",1084225
"31","Nebraska",1961504
"39","Ohio",11799448
"08","Colorado",5773714
"34","New Jersey",9288994
"24","Maryland",6177224
"51","Virginia",8631393
"50","Vermont",643077
"37","North Carolina",10439388
"05","Arkansas",3011524
"53","Washington",7705281
"20","Kansas",2937880
"40","Oklahoma",3959353
"55","Wisconsin",5893718
"28","Mississippi",2961279
"29","Missouri",6154913
"26","Michigan",10077331
"44","Rhode Island",1097379
"27","Minnesota",5706494
"19","Iowa",3190369
"35","New Mexico",2117522
"32","Nevada",3104614
"10","Delaware",989948
"72","Puerto Rico",3285874
"21","Kentucky",4505836
"46","South Dakota",886667
"47","Tennessee",6910840
